model,k,covariance_type,aic,bic,silhouette,calinski_harabasz,davies_bouldin
gmm,9,tied,715278.9967977843,716708.6610637698,0.05424367151386912,2175.479139067408,2.8179687706663854
gmm,10,tied,714846.9772784022,716375.8090079242,0.06354828051055625,2210.039659592489,2.7800313346440944
gmm,11,tied,713870.4110977805,715498.410290839,0.059282246483898876,2089.97036242459,2.7259754808369987
gmm,12,tied,712654.5168025135,714381.6834591087,0.0548291694522803,1901.813475733798,2.872566797516688
gmm,13,tied,712288.869880365,714115.2040004967,0.05652219971433727,1876.3767596649604,2.733153237873246
gmm,14,tied,702330.4732557685,704255.9748394368,0.05940741783407587,1774.789382598553,2.6792119182786207
gmm,15,tied,700985.0156314293,703009.684678634,0.05551587405401712,1638.466206803205,2.6081419166207667
gmm,2,diag,821671.924403717,822043.8023919791,0.2006834928157828,7505.451596975218,1.8308109658161107
gmm,3,diag,707566.5987117414,708128.547671782,0.07265984142382804,3763.7991925119704,3.563680593878383
gmm,4,diag,687924.5298250184,688676.5497568373,0.0515160199697686,3269.7657366389126,3.026940463925082
gmm,5,diag,667808.5371019231,668750.6280055204,0.058678149389702734,3199.247985367932,3.519824673411511
gmm,6,diag,656246.529161148,657378.6910365238,0.035441802931040815,2688.7388833076543,3.8080901486741827
gmm,7,diag,649223.8704872756,650546.1033344298,0.03629071478391714,2327.285267245502,3.089223279852983
gmm,8,diag,639435.8319825635,640948.1358014961,0.002166675702825937,2051.7823647800797,3.489702370848083
gmm,9,diag,634440.1175667864,636142.4923574973,0.009812407794725288,1868.4853037284117,4.847192693568677
gmm,10,diag,623886.5010736341,625778.9468361236,0.003115743630392513,1658.7141805516635,3.643093114630016
gmm,11,diag,579388.1103169508,581470.6270512186,-0.004553087856293245,1450.1348671506776,5.064037839441723
gmm,12,diag,615539.504332233,617812.0920382792,0.004952878983109565,1490.9158070334274,3.521696081695799
gmm,13,diag,609232.3798859334,611695.038563758,0.0038099844010553905,1456.81771725945,3.4590180496551026
gmm,14,diag,605310.6122558209,607963.3419054239,-0.0006475906716530483,1410.798391172565,3.593148572593425
gmm,15,diag,601163.1834875455,604005.984108927,-0.016050267241641224,1329.148610984179,3.2568714506719876
gmm,2,spherical,849602.7074688897,849809.3063512575,0.20908855513057617,8301.710914016036,1.7831714270780115
gmm,3,spherical,837706.5421109542,838020.5724121532,0.15322244152585077,5974.57562612917,2.0398916571212444
gmm,4,spherical,831120.867381007,831542.3291010374,0.10689313123548445,4490.572412317587,2.170455545008669
gmm,5,spherical,825614.9826314981,826143.8757703598,0.10082811775697574,4088.045408335739,2.2208162103471674
gmm,6,spherical,815524.8418760989,816161.1664337919,0.08634616970447476,3624.1477960610073,2.1030678693325178
gmm,7,spherical,809188.0203282352,809931.7763047594,0.08401839838570868,3393.7089989566866,2.107055986493994
gmm,8,spherical,803120.1448080881,803971.3322034436,0.07901867619286791,3107.650440858363,2.0954809457171324
gmm,9,spherical,799456.838939015,800415.4577532018,0.0862515946602525,2917.4259755652242,1.9748012939539603
gmm,10,spherical,796189.218925978,797255.2691589961,0.08988207140561771,2759.6630038501753,1.9567746880035468
gmm,11,spherical,791131.2707173447,792304.7523691941,0.07330565806580187,2459.490976664615,2.294769015725803
gmm,12,spherical,790714.00794021,791994.9210108906,0.07773216697102917,2431.8628894064113,1.9276856399087217
gmm,13,spherical,786558.69915956,787947.043649072,0.07759096614389657,2373.738526370462,1.9084853082782942
gmm,14,spherical,782636.0732020518,784131.849110395,0.09621994605997193,2225.2209960473165,2.288226344118975
gmm,15,spherical,780285.6716214049,781888.8789485793,0.075970368585196,2200.5561044429646,1.9176437531096469
